company,time,revenue_m
FCFS,2018,1780.9
FCFS,2019,1864.4
FCFS,2020,1631.3
FCFS,2021,1699.0
FCFS,2022,2728.9
FCFS,2023,3151.8
FCFS,2024,3388.5
FCFS,2025,3661.0
FCNCB,2022,5082.0
FCNCB,2023,18787.0
FCNCB,2024,9758.0
FCNCB,2025,9541.0
FDX,2008,37953.0
FDX,2009,35497.0
FDX,2010,34734.0
FDX,2011,39304.0
FDX,2012,42680.0
FDX,2013,44287.0
FDX,2014,45567.0
FDX,2015,47453.0
FDX,2016,50365.0
FDX,2017,60319.0
FDX,2018,65450.0
FIG,2023,504.9
FIG,2024,749.0
FIG,2025,1055.8
FIGR,2023,209.5
FIGR,2024,340.9
FIGR,2025,506.9
FIZZ,2016,704.8
FIZZ,2017,826.9
FIZZ,2018,975.7
FIZZ,2019,1014.1
FIZZ,2020,1000.4
FIZZ,2021,1072.2
FIZZ,2022,1138.0
FIZZ,2023,1172.9
FIZZ,2024,1191.7
FIZZ,2025,1201.4
FMBH,2009,51.4
FMBH,2010,50.9
FMBH,2011,56.8
FMBH,2012,55.8
FMBH,2013,53.5
FMBH,2014,54.7
FMBH,2015,59.3
FMBH,2016,75.5
FMBH,2017,99.6
FMBH,2018,124.6
FMBH,2019,149.7
FMBH,2020,144.1
FMBH,2021,183.0
FMBH,2022,215.9
FMBH,2023,300.2
FMBH,2024,357.4
FMBH,2025,373.0
FOUR,2018,560.6
FOUR,2019,731.4
FOUR,2020,766.9
FOUR,2021,1367.5
FOUR,2022,1993.6
FOUR,2023,2564.8
FOUR,2024,3330.6
FOUR,2025,4180.0
FOXA,2017,9921.0
FOXA,2018,10153.0
FOXA,2019,11389.0
FOXA,2020,12303.0
FOXA,2021,12909.0
FOXA,2022,13974.0
FOXA,2023,14913.0
FSLR,2016,2904.6
FSLR,2017,2941.3
FSLR,2018,2244.0
FSLR,2019,3063.1
FSLR,2020,2711.3
FSLR,2021,2923.4
FSLR,2022,2619.3
FSLR,2023,3318.6
FSLR,2024,4206.3
FSLR,2025,5219.4
FTNT,2017,1494.9
FTNT,2018,1804.6
FTNT,2019,2156.2
FTNT,2020,2594.4
FTNT,2021,3342.2
FTNT,2022,4417.4
FTNT,2023,5304.8
FTNT,2024,5955.8
FTNT,2025,6799.6
GAP,2017,15516.0
GAP,2018,15855.0
GAP,2019,16580.0
GAP,2020,16383.0
GAP,2021,13800.0
GAP,2022,16670.0
GAP,2023,15616.0
GAP,2024,14889.0
GAP,2025,15086.0
GAP,2026,15366.0
GDDY,2016,1847.9
GDDY,2017,2231.9
GDDY,2018,2660.1
GDDY,2019,2988.1
GDDY,2020,3316.7
GDDY,2021,3815.7
GDDY,2022,4091.3
GDDY,2023,4254.1
GDDY,2024,4573.2
GDDY,2025,4951.1
GE,2007,169964.0
GE,2008,181581.0
GE,2009,156783.0
GE,2010,150211.0
GE,2011,147300.0
GE,2012,147359.0
GE,2013,146045.0
GE,2014,117184.0
GE,2015,117386.0
GE,2016,123693.0
GE,2017,122092.0
GE,2018,121615.0
GE,2019,95214.0
GE,2020,79619.0
GE,2021,74196.0
GE,2022,76555.0
GE,2023,67954.0
GE,2024,38702.0
GE,2025,45855.0
GMED,2016,564.0
GMED,2017,636.0
GMED,2018,713.0
GMED,2019,785.4
GMED,2020,789.0
GMED,2021,958.1
GMED,2022,1022.8
GMED,2023,1568.5
GMED,2024,2519.4
GMED,2025,2938.9
GOOGL,2013,55519.0
GOOGL,2014,66001.0
GOOGL,2015,74989.0
GOOGL,2016,90272.0
GOOGL,2017,110855.0
GOOGL,2018,136819.0
GOOGL,2019,161857.0
GOOGL,2020,182527.0
GOOGL,2021,257637.0
GOOGL,2023,307394.0
GOOGL,2024,350018.0
GOOGL,2025,402836.0
GPRO,2012,526.0
GPRO,2013,985.7
GPRO,2014,1394.2
GPRO,2015,1620.0
GPRO,2016,1185.5
GPRO,2017,1179.7
GPRO,2018,1148.3
