person,time,worth
alberto_j_safra,2025,2475
alberto_palatchi,2018,1195
alberto_palatchi,2019,1144
alberto_palatchi,2020,1219
alberto_palatchi,2021,1500
alberto_palatchi,2022,1632
alberto_palatchi,2023,1536
alberto_palatchi,2024,1850
alberto_palatchi,2025,2384
alberto_prada,2015,1994
alberto_prada,2016,1113
alberto_prada,2017,1548
alberto_prada,2018,1521
alberto_prada,2019,1248
alberto_prada,2020,1320
alberto_prada,2021,2000
alberto_prada,2022,1632
alberto_prada,2023,2079
alberto_prada,2024,2378
alberto_prada,2025,2567
alberto_roemmers,2013,1247
alberto_roemmers,2014,1341
alberto_roemmers,2015,1218
alberto_roemmers,2016,1113
alberto_roemmers,2017,2212
alberto_roemmers,2018,1956
alberto_roemmers,2019,3120
alberto_roemmers,2020,2438
alberto_roemmers,2021,2200
alberto_roemmers,2022,2304
alberto_siccardi,2020,1320
alberto_siccardi,2021,2200
alberto_siccardi,2022,2304
alberto_siccardi,2023,2079
alberto_siccardi,2024,2466
alberto_siccardi,2025,2751
albrecht,2012,17279
albrecht,2013,20412
albrecht_knauf,2022,1056
albrecht_knauf,2023,904
albrecht_knauf,2024,1233
albrecht_knauf,2025,1283
alceu_elias_feldmann,2019,2288
alceu_elias_feldmann,2020,2133
alceu_elias_feldmann,2021,5400
alceu_elias_feldmann,2022,2496
alceu_elias_feldmann,2023,2260
alceu_elias_feldmann,2024,3259
alceu_elias_feldmann,2025,3026
aldo_bensadoun,2015,1883
aldo_bensadoun,2016,1224
aldo_bensadoun,2017,1106
aldo_bensadoun,2018,2065
aldo_bensadoun,2019,1560
aldo_bensadoun,2020,1117
aldo_bensadoun,2021,1300
aldo_bensadoun,2022,1248
aldo_bensadoun,2023,994
aldo_bensadoun,2024,969
aldo_bensadoun,2025,1100
alec_gores,2003,2299
alec_gores,2004,2188
alec_gores,2005,1674
alec_gores,2006,1621
alec_gores,2007,1488
alec_gores,2008,1823
alec_gores,2009,1531
alec_gores,2010,1867
alec_gores,2011,1870
alec_gores,2012,2188
alec_gores,2013,2154
alec_gores,2014,2236
alec_gores,2015,2326
alec_gores,2016,2337
alec_gores,2017,2322
alec_gores,2018,2282
alec_gores,2019,2288
alec_gores,2020,2032
alec_gores,2021,3000
alec_gores,2022,2496
alec_gores,2023,2260
alec_gores,2024,1938
alec_gores,2025,1925
alejandro_bailleres_gual,2022,6431
alejandro_bailleres_gual,2023,6237
alejandro_bailleres_gual,2024,7136
alejandro_bailleres_gual,2025,8253
alejandro_bulgheroni,2011,5961
alejandro_bulgheroni,2012,5875
alejandro_bulgheroni,2013,6236
alejandro_bulgheroni,2014,6149
alejandro_bulgheroni,2015,5872
alejandro_bulgheroni,2016,5008
alejandro_bulgheroni,2017,3649
alejandro_bulgheroni,2018,3261
alejandro_bulgheroni,2019,3224
alejandro_bulgheroni,2020,2743
alejandro_bulgheroni,2021,3300
alejandro_bulgheroni,2022,1823
alejandro_bulgheroni,2023,1627
alejandro_bulgheroni,2024,4316
alejandro_bulgheroni,2025,4401
alejandro_santo_domingo,2012,10943
alejandro_santo_domingo,2013,13267
alejandro_santo_domingo,2014,12409
alejandro_santo_domingo,2015,4875
alejandro_santo_domingo,2016,5453
alejandro_santo_domingo,2017,5198
alejandro_santo_domingo,2018,4674
alejandro_santo_domingo,2019,3536
alejandro_santo_domingo,2020,2133
alejandro_santo_domingo,2021,2900
alejandro_santo_domingo,2022,2496
alejandro_santo_domingo,2023,2350
alejandro_santo_domingo,2024,2466
alejandro_santo_domingo,2025,3026
ales_zavoral,2023,1808
ales_zavoral,2024,1762
ales_zavoral,2025,1834
alessandra_garavoglia,2017,1216
alessandra_garavoglia,2018,2717
alessandra_garavoglia,2019,2912
alessandra_garavoglia,2020,2032
alessandra_garavoglia,2021,3500
alessandra_garavoglia,2022,2976
alessandra_garavoglia,2023,3073
alessandra_garavoglia,2024,3259
alessandra_garavoglia,2025,2200
alessandro_rosano,2024,1233
alessandro_rosano,2025,1283
alex_atallah,2022,2112
alex_beard,2012,2419
alex_beard,2013,2381
alex_beard,2014,2180
alex_beard,2015,1772
alex_beard,2017,1548
alex_beard,2018,1956
alex_beard,2019,1560
alex_beard,2020,1117
alex_beard,2021,1500
alex_beard,2022,2207
alex_beard,2023,1898
alex_beard,2024,1673
alex_beard,2025,1467
alex_birkenstock,2021,1700
alex_birkenstock,2022,1632
alex_birkenstock,2023,1446
alex_birkenstock,2024,1673
alex_birkenstock,2025,1742
alex_c_lo,2019,1040
alex_c_lo,2020,1117
