listed_company,time,gross_margin_pct
SYM,2020,-20.6
SYM,2021,4.1
SYM,2022,16.8
SYM,2023,16.1
SYM,2024,5.4
SYM,2025,18.8
TOL,2018,7.3
TSLA,2009,8.5
TSLA,2010,26.3
TSLA,2011,3.8
TSLA,2012,5.8
TSLA,2013,7.8
TSLA,2014,8.2
TSLA,2015,5.4
TSLA,2016,6.2
TSLA,2017,3.7
TSLA,2018,6.7
TSLA,2019,5.7
TSLA,2020,6.6
TSLA,2021,25.3
TSLA,2022,25.6
TSLA,2023,18.2
TSLA,2024,17.9
TSLA,2025,18.0
TSN,2016,12.7
TSN,2017,13.2
TSN,2018,3.4
TSN,2019,2.7
TSN,2020,3.7
TSN,2021,13.9
TSN,2022,12.5
TSN,2023,5.0
TSN,2024,6.8
TSN,2025,6.5
TWLO,2014,53.4
TWLO,2015,55.4
TWLO,2016,56.5
TWLO,2017,54.2
UAA,2011,53.8
UAA,2012,15.4
UAA,2013,16.8
UAA,2016,46.5
UAA,2017,45.1
UAA,2018,12.0
UAA,2019,12.9
UAA,2020,15.5
