person,name,last_name,age,birth_year,gender,country,source,industry,title,image_uri,latest_year
mukand_lal_dua,Mukand Lal Dua,Dua,74.0,1951.0,Male,India,footwear,Fashion & Retail,,no-pic,2022
mukesh_ambani,Mukesh Ambani,Ambani,68.0,1957.0,Male,India,Diversified,Diversified,"Chairman and managing director, Reliance Industries",,2025
muneaki_masuda,Muneaki Masuda,Masuda,72.0,1953.0,Male,Japan,retail,Fashion & Retail,,,2021
murali_divi,Murali Divi,Divi,74.0,1951.0,Male,India,Pharmaceuticals,Healthcare,,,2025
murat_ulker,Murat Ulker,Ulker,66.0,1959.0,Male,Turkey,Food,Food & Beverage,,,2025
murat_vargi,Murat Vargi,Vargi,77.0,1948.0,Male,Turkey,Telecom,Telecom,,,2025
murdaya_poo,Murdaya Poo,Poo,84.0,1941.0,Male,Indonesia,Diversified,Diversified,,,2025
murli_dhar_bimal_kumar_gyanchandani,Murli Dhar & Bimal Kumar Gyanchandani,Gyanchandani,,,Male,India,Detergents,Manufacturing,,no-pic,2018
mustafa_hamied,Mustafa Hamied,Hamied,84.0,1941.0,Male,India,Pharmaceuticals,Healthcare,,no-pic,2025
mustafa_kucuk,Mustafa Kucuk,Kucuk,62.0,1963.0,Male,Turkey,Fashion retail,Fashion & Retail,,no-pic,2025
mustafa_latif_topbas,Mustafa Latif Topbas,Topbas,81.0,1944.0,Male,Turkey,"food, retail",Fashion & Retail,,no-pic,2025
mustafa_rahmi_koc,Mustafa Rahmi Koc,Koc,94.0,1931.0,Male,Turkey,Diversified,Diversified,,,2025
